hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
30881051,"Jungfrau Lodge, Annex Crystal",Grindelwald,46.622930,8.039420,,20,3
31018065,BERGWELT GRINDELWALD | ALPINE DESIGN RESORT,Grindelwald,46.623940,8.039380,,90,4.5
31093245,"The Florian Amsterdam Schiphol Airport, WorldHotels Crafted",Hoofddorp,52.291336,4.719876,,150,4
31137928,Grand Plaza Hotel and Congress Centre,Ljubljana,46.056741,14.505816,,354,5
31145401,Afterwork Hotel,Etoy,46.475190,6.410609,,136,4.0
31158636,AARDO - Kind of a Hotel - Self Check-In,Döttingen,47.558286,8.252096,,75,4
31195058,YOTEL Geneva Lake,Founex,46.339713,6.165982,,237,4
31197575,IntercityHotel Heidelberg,Heidelberg,49.404972,8.675844,,198,0.0
31199932,Zleep Hotel Zürich-Kloten,Kloten,47.449296,8.582950,,90,3
31204025,Novotel Paris Val de Fontenay,Fontenay-sous-Bois,48.852754,2.486774,,90,4.0
31223567,Tribe Paris Clichy,Clichy,48.903954,2.302878,,120,4.0
hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25445176,DoubleTree by Hilton London Docklands Riverside,London,51.504245,-0.033501,DoubleTree by Hilton,378,4
25470498,Novotel London Excel,London,51.507663,0.023830,Novotel,257,4
25466370,Ramada by Wyndham London North M1,London,51.629147,-0.263876,Ramada Worldwide,195,3
25454012,Copthorne Tara Hotel London Kensington,London,51.498498,-0.190869,Millennium & Copthorne Hotels,833,4
25469540,Ibis London Excel Docklands,London,51.508301,0.021805,ibis,278,3
29781201,Hilton London Bankside,London,51.505672,-0.101175,Hilton Hotels,292,4.0
27335801,Novotel London Wembley,London,51.562270,-0.279680,Novotel,235,4
26009781,Scandic Örebro Väst,Örebro,59.274931,15.177006,Scandic Hotels,212,3
25468804,Scandic Solli Oslo,Oslo,59.913878,10.721390,Scandic Hotels,226,3.5
25468859,Scandic St Olavs Plass,Oslo,59.918175,10.739833,Scandic Hotels,241,3.5
25457961,Scandic Holberg,Oslo,59.919150,10.734140,Scandic Hotels,133,3.5
28851161,Scandic Oslo City,Oslo,59.911987,10.749246,Scandic Hotels,175,3
25455197,Scandic Byporten,Oslo,59.911847,10.752697,Scandic Hotels,239,3
25441923,Novotel Paris Centre Tour Eiffel,Paris,48.849838,2.283233,Novotel,764,4
25443419,ibis Paris 17 Clichy-Batignolles,Paris,48.892176,2.314838,ibis,688,3
25443750,NH Paris Opéra Faubourg,Paris,48.875362,2.341471,NH Hotels,103,4
25437045,The Westin Grand Munich,Munich,48.152250,11.617312,Westin,627,5
25437063,"Cardo Roma, Autograph Hotel",Rome,41.842915,12.471811,Autograph Collection Hotels,324,4
25437138,Sheraton Grand Salzburg,Salzburg,47.806997,13.040719,Sheraton,168,5
25437152,Hotel Praga,Madrid,40.394154,-3.707749,Santos Hotels,420,4
25437203,Meliá White House,London,51.525433,-0.143646,Meliá,581,4
25437365,Doubletree by Hilton Luxembourg,Luxembourg,49.640025,6.147387,DoubleTree by Hilton,345,4
25437402,NH Madrid Ventas,Madrid,40.435542,-3.663830,NH Hotels,199,4
25437750,Crowne Plaza Rome-St. Peter's Hotel & Spa by IHG,Rome,41.888836,12.425739,Crowne Plaza,307,4
25437769,Holiday Inn Munich - South by IHG,Munich,48.094678,11.515848,Holiday Inn,320,4
25438810,Hotel Emperador,Madrid,40.421455,-3.708134,,232,4
25439070,Hotel Chamartin The One,Madrid,40.471914,-3.683574,Husa Hotels,378,4
25439274,Mercure Paris Montmartre Sacré Coeur,Paris,48.885271,2.330073,Mercure,305,4
25439280,Mercure Paris Porte d'Orléans,Montrouge,48.817672,2.329079,Mercure,188,4
25439343,Bettoja Hotel Massimo D'Azeglio,Rome,41.900057,12.499222,,185,4
25439707,Mercure Porto Centro Santa Catarina,Porto,41.145408,-8.607630,Mercure,147,4
25439874,Holiday Inn Naples by IHG,Neapel,40.858040,14.284778,Holiday Inn,295,4
25440304,Hilton Zurich Airport,Opfikon,47.436981,8.571838,Hilton Hotels,323,4
25440335,Hilton Rotterdam,Rotterdam,51.923619,4.477131,Hilton Hotels,254,5
25440340,Hilton Strasbourg,Strasbourg,48.596894,7.755143,Hilton Hotels,245,4
25440737,Senator Barajas Hotel,Madrid,40.458646,-3.582399,,301,4
25440752,Le Méridien Paris Arc De Triomphe,Paris,48.879481,2.284989,Le Meridien,1025,4
25440845,Holiday Inn Glasgow Airport by IHG,Paisley,55.863429,-4.433886,Holiday Inn,300,3
25440908,Hôtel Aston La Scala,Nice,43.698061,7.272107,,149,4
25440972,Pullman Paris Montparnasse Hotel,Paris,48.838347,2.320765,Pullman Hotels & Resorts,957,4
25441055,Paris Marriott Opera Ambassador,Paris,48.872573,2.336918,Marriott,297,4
25441408,Royal Continental Hotel Naples,Naples,40.830076,14.246918,,397,4
25441441,Hotel Eisenhut,Rothenburg ob der Tauber,49.376743,10.178077,,75,4.0
25441541,NH Napoli Panorama,Naples,40.842398,14.252223,NH Hotels,230,4
25441567,Holiday Inn Munich - City Centre by IHG,Munich,48.130599,11.589601,Holiday Inn,582,4.0
25441755,Novotel Luxembourg Kirchberg,Luxemburg,49.621015,6.145601,Novotel,260,4
25441958,Novotel Dijon Sud,Marsannay La Cote,47.279559,5.008065,Novotel,120,4
25442142,NH München Messe,Munich,48.139654,11.642965,NH Hotels,253,4
25442526,Congress Hotel Mercure Nürnberg an der Messe,Nuremberg,49.424025,11.106888,Mercure,140,4
25443128,Maritim Hotel München,Munich,48.138420,11.558861,Maritim Hotels,349,4
25443130,Maritim Hotel Stuttgart,Stuttgart,48.780533,9.166559,Maritim Hotels,555,0.0
25443643,"Radisson Blu Hotel, Nice",Nice,43.684470,7.234937,Radisson Blu,331,4
25444537,Mercure Nancy Centre Place Stanislas Hotel,Nancy,48.692010,6.180367,Mercure,80,4
25444829,NH Geneva Airport,Meyrin,46.227954,6.085727,NH Hotels,190,4
25444874,TRH Mijas,Mijas,36.598282,-4.633985,TRH Hotels,204,4
25444966,Vienna House by Wyndham Diplomat Prague,Prague,50.099884,14.389736,Wyndham Hotels,398,4.5
25445039,Melia Castilla,Madrid,40.461380,-3.692100,Meliá,909,4
25445040,Melia Madrid Princesa,Madrid,40.427048,-3.714350,Meliá,273,5
25445242,Madrid Marriott Hotel Princesa Plaza,Madrid,40.429750,-3.714680,Marriott,423,4
25445260,Mercure Nice Centre Notre Dame,Nice,43.703601,7.266683,Mercure,198,4
25445311,NH Nice,Nice,43.707640,7.282747,NH Hotels,152,4
25445928,Mercure Paris Gare de Lyon Opéra Bastille,Paris,48.846868,2.372820,Mercure,49,4
25446219,NH Prague City,Prague,50.071356,14.396847,NH Hotels,308,4.5
25446366,UNA Hotels Century Milano,Milan,45.484981,9.199359,Una Hotels,144,4
25446703,Hotel ILUNION Alcora Sevilla,San Juan de Aznalfarache,37.370015,-6.032999,Ilunion Hotels,401,4
25446746,Mercure Hotel München Süd Messe,Munich,48.102332,11.659426,Mercure,185,4
25446976,NH Pisa,Pisa,43.709044,10.399010,NH Hotels,100,4
25447864,Nobu London Portman Square,London,51.515950,-0.157891,,249,5
25448105,Mercure Hotel Stuttgart Airport Messe,Stuttgart,48.712254,9.165870,Mercure,148,4
25448305,ibis Styles Paris Gare de l'Est Château Landon,Paris,48.879213,2.362227,ibis Styles,163,3.0
25448379,Crowne Plaza Milan - Linate by IHG,San Donato Milanese,45.421053,9.250425,Crowne Plaza,436,4
25448399,BELSTAY ROMA AURELIA,Rome,41.887566,12.401950,Holiday Inn,246,4
25448473,Belstay Milano Linate,Peschiera Borromeo,45.450513,9.290518,Holiday Inn,142,4.0
25449037,Ambassador Zlatá husa,Prague,50.083781,14.424698,TOP Hotels,162,5.0
25449289,Holiday Inn Stuttgart by IHG,Stuttgart,48.821488,9.094031,Holiday Inn,320,4
25449650,Quality Hotel Sogndal,Sogndal,61.230510,7.098380,Nordic Hotels,226,4
25450127,Wyndham Grand Salzburg Conference Centre,Salzburg,47.815334,13.043891,Wyndham Grand,262,4
25450824,Holiday Inn Reading South M4 Jct11 by IHG,Reading,51.421132,-0.970391,Holiday Inn,202,3
25451684,"The Palace, a Luxury Collection Hotel, Madrid",Madrid,40.415187,-3.695043,Luxury Collection,470,5
25451691,"Hotel Goldener Hirsch, A Luxury Collection Hotel, Salzburg",Salzburg,47.799948,13.040949,Luxury Collection,70,5
25452492,Four Points by Sheraton Munich Arabellapark,Munich,48.151102,11.618294,Four Points,446,4
25452746,Mercure Hotel München Neuperlach Süd,Munich,48.092118,11.644223,Mercure,253,4.0
25452975,Leonardo Hotel Milan City Center,Milan,45.482368,9.175693,Leonardo Hotels,131,4
25453027,"Grand Hotel Suisse Majestic, Autograph Collection",Montreux,46.434600,6.909944,Autograph Collection Hotels,155,4.5
25453035,Paris Marriott Rive Gauche Hotel &amp; Conference Center,Paris,48.831659,2.340073,Marriott,757,4.0
25453227,Hotel Nice Riviera,Nice,43.700082,7.269527,,120,4
25453228,ibis Styles Paris Nation Porte De Montreuil,Paris,48.855124,2.409537,ibis Styles,60,3
25453691,Radisson Hotel Nice Airport,Nice,43.667352,7.208920,Radisson,151,4
25454008,Millennium Hotel Paris Charles de Gaulle,Roissy-en-France,49.005757,2.520491,Millennium & Copthorne Hotels,239,4
25455662,NH Frankfurt Airport West,Raunheim,50.014618,8.460019,NH Hotels,306,4.0
25455996,Ramada Graz by Wyndham,Premstätten,46.976007,15.427315,Ramada Worldwide,114,4
25456317,NH Noordwijk Conference Centre Leeuwenhorst,Noordwijkerhout,52.251829,4.473240,NH Hotels,513,4.5
25456742,Mövenpick Zürich Regensdorf,Regensdorf,47.431234,8.467686,Mövenpick Hotels & Resorts,149,4
25456923,Port Azafata,Manises,39.488075,-0.468557,,128,4
25457149,Hotel Astoria Luzern,Luzern,47.048139,8.305545,,252,4
25457209,Barceló Sevilla Renacimiento,Sevilla,37.409858,-5.995727,Barceló Hotels,295,5
25457890,Sofitel Le Scribe Paris Opéra,Paris,48.870395,2.329721,Sofitel,201,5
25458145,Hotel Saphir,Lyon,45.768204,4.803466,Best Western Hotels & Resorts,110,3
25458190,Orida Hotel Newbury,Newbury,51.450998,-1.311316,DoubleTree by Hilton,113,4
25458212,Crystal Hotel,St. Moritz,46.497986,9.838614,,74,4.5
25458382,Crowne Plaza Stratford Upon Avon by IHG,Stratford-upon-Avon,52.193212,-1.700755,Crowne Plaza,259,4
25458447,Novotel Rouen Sud Zenith Parc Expo,Saint-Étienne-du-Rouvray,49.389750,1.059890,Novotel,132,4
25458460,Novotel Avignon Nord,Sorgues,43.985455,4.888252,Novotel,100,3
25458520,Nest Hotel Paris la Défense - MGallery Collection,París,48.888159,2.248415,MGallery,151,5
25458804,ibis Paris Alésia Montparnasse 14ème,Paris,48.827443,2.321031,ibis,264,3
25458813,ibis Paris Porte d'Orléans,Montrouge,48.817362,2.329402,ibis,402,3
25458828,Golden Tulip Roissy Saint Witz,St. Witz,49.089047,2.556443,Golden Tulip Hotels,118,3
25458839,ibis Styles Paris Roissy CDG,Roissy-en-France,49.007040,2.520548,ibis Styles,304,3
25459168,Golden Tulip CDG Airport Roissy,Roissy-en-France,48.997963,2.516942,Golden Tulip Hotels,153,4
25459438,Haymarket by Scandic,Stockholm,59.334689,18.061732,Scandic Hotels,401,4
25459439,Novotel Marne-La-Vallée Noisy-Le-Grand,Noisy-le-Grand,48.837817,2.541715,Novotel,144,4
25459559,Novotel Paris Orly Rungis Aéroport,Rungis,48.755011,2.350183,Novotel,180,4
25459698,Hotel M.A. Sevilla Congresos,Seville,37.405517,-5.930010,Hoteles M.A.,200,4
25459799,Hotel PULSE8,Prague,50.094389,14.454104,Pentahotels,227,4
25461025,NH Roma Villa Carpegna,Rome,41.891847,12.438964,NH Hotels,201,4
25461700,Radisson Hotel Zurich Airport,Rümlang,47.450957,8.540341,Radisson,211,4
25462292,Mercure Eur Roma West,Mostacciano ,41.785775,12.434606,Mercure,215,4
25462512,Mercure Paris Porte de Pantin,Pantin,48.890236,2.399373,Mercure,123,4
